

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
17,610-AP9,B610,SY2610-1TC-FACC1242-I,10.70.16.232,FYT_TBL2,70:81:05:92:81:d6,FGL1538U0AM,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-02,SY2610-1TC02BC26PS48,10.70.28.12,Fa0/4,1G25f,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
18,610-AP10,B610,SY2610-1TC-FACC1242-J,10.70.16.233,FYT_TBL2,70:81:05:f1:56:86,FGL1538U0A3,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-02,SY2610-1TC02BC26PS48,10.70.28.12,Fa0/2,1H28d,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
19,610-AP11,B610,SY2610-1TC-FACC1242-K,10.70.16.234,FYT_TBL2,70:81:05:f1:53:5e,FGL1538U09F,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/11,1J37d,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
20,610-AP12,B610,SY2610-1TC-FACC1242-L,10.70.16.235,FYT_TBL2,d4:8c:b5:4b:3a:36,FGL1636U02T,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-01,SY2610-1TC01AC26PS48,10.70.28.7,Fa0/7,1J31d,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
21,610-AP13,B610,SY2610-1TC-FACC1242-M,10.70.16.236,FYT_TBL2,70:81:05:f1:56:02,FGL1538U08Z,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-04,SY2610-1TC04AC26PS24,10.70.28.14,Fa0/1,1D25a,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
22,610-AP14,B610,SY2610-1TC-FACC1242-N,10.70.16.237,FYT_TBL2,70:81:05:f1:53:ee,FGL1538U090,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-04,SY2610-1TC04AC26PS24,10.70.28.14,Fa0/2,1D28e,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
23,610-AP15,B610,SY2610-1TC-FACC1242-O,10.70.16.238,FYT_TBL2,70:81:05:f1:52:4e,FGL1538U08Y,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-03,SY2610-1TC03AC26PS48,10.70.28.13,Fa0/1,1D31a,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
24,610-AP16,B610,SY2610-1TC-FACC1242-P,10.70.16.239,FYT_TBL2,70:81:05:92:83:f8,FGL1538U092,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-03,SY2610-1TC03AC26PS48,10.70.28.13,Fa0/2,1D34e,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
25,610-AP17,B610,SY2610-1TC-FACC1242-Q,10.70.16.240,FYT_TBL2,70:81:05:f1:56:5c,FGL1538U093,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-04,SY2610-1TC04AC26PS24,10.70.28.14,Fa0/3,1B26a,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
26,610-AP18,B610,SY2610-1TC-FACC1242-R,10.70.16.241,FYT_TBL2,70:81:05:f1:53:e4,FGL1538U09A,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-04,SY2610-1TC04AC26PS24,10.70.28.14,Fa0/4,1B30a,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
27,610-AP19,B610,SY2610-1TC-FACC1242-S,10.70.16.242,FYT_TBL2,70:81:05:f1:56:1e,FGL1538U09E,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-03,SY2610-1TC03AC26PS48,10.70.28.13,Fa0/3,1D38c,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
28,610-AP20,B610,SY2610-1TC-FACC1242-T,10.70.16.243,FYT_TBL2,70:81:05:f1:55:e0,FGL1538U09C,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-03,SY2610-1TC03AC26PS48,10.70.28.13,Fa0/4,1B34a,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
29,610-AP21,B610,SY2610-1TC-FACC1242-U,10.70.16.244,FYT_TBL2,70:81:05:f1:53:ba,FGL1538U0A0,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,610-TC-03,SY2610-1TC03AC26PS48,10.70.28.13,Fa0/5,1B38c,ok,WLANSY2RCBR01WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
30,340-AP1,B340,SY2340-1TC-FACC1242-A,10.70.16.137,FYT,70:81:05:f1:55:96,FGL1538U099,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/34,1L5a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
31,340-AP2,B340,SY2340-1TC-FACC1242-B,10.70.16.138,FYT,70:81:05:f1:54:b0,FGL1538U094,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/35,1L9a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
32,340-AP3,B340,SY2340-1TC-FACC1242-C,10.70.16.139,FYT,70:81:05:92:b0:8e,FGL1538U09Q,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/36,1L16c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
33,340-AP4,B340,SY2340-1TC-FACC1242-D,10.70.16.140,FYT,70:81:05:92:af:a4,FGL1538U09R,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/37,1L20f,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
34,340-AP5,B340,SY2340-1TC-FACC1242-E,10.70.16.141,FYT,70:81:05:92:b0:1a,FGL1538U09S,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/33,1K5b,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
35,340-AP6,B340,SY2340-1TC-FACC1242-F,10.70.16.142,FYT,70:81:05:f1:55:32,FGL1538U09G,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/38,1K11a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
36,340-AP7,B340,SY2340-1TC-FACC1242-G,10.70.16.143,FYT,70:81:05:92:b0:7c,FGL1538U09L,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/39,1K16a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
37,340-AP8,B340,SY2340-1TC-FACC1242-H,10.70.16.219,FYT,d8:67:d9:8e:a0:0c,FGL1627U0HH,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,340-TC-01,SY2340-1TC01AC26PS48,10.70.28.63,Fa0/40,1K21a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
38,341-AP1,B341,SY2341-1TC-FACC1242-A,10.70.16.144,FYT,70:81:05:92:81:5e,FGL1538U0AD,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/30,1L30c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
39,341-AP2,B341,SY2341-1TC-FACC1242-B,10.70.16.145,FYT,70:81:05:92:81:14,FGL1538U0AE,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/31,1L32c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
40,341-AP3,B341,SY2341-1TC-FACC1242-C,10.70.16.146,FYT,d4:8c:b5:4b:68:08,FGL1630U0AR,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/32,1L34c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
41,341-AP4,B341,SY2341-1TC-FACC1242-D,10.70.16.147,FYT,70:81:05:92:af:fc,FGL1538U09M,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/33,1L38a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
42,341-AP5,B341,SY2341-1TC-FACC1242-E,10.70.16.148,FYT,70:81:05:f1:54:f8,FGL1538U08W,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/34,1K29d,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
43,341-AP6,B341,SY2341-1TC-FACC1242-F,10.70.16.149,FYT,9c:af:ca:00:58:4e,FCW1350U0NK,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/35,1K34a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
44,341-AP7,B341,SY2341-1TC-FACC1242-G,10.70.16.150,FYT,70:81:05:92:af:ba,FGL1538U09J,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,341-TC-01,SY2341-1TC01BC26PS48,10.70.28.64,Fa0/36,1k37a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,7,1,
45,227-AP1,B227,SY2227-1TC-FACC1242-A,10.70.16.152,RMZA-B,70:81:05:92:b2:48,FGL1538U098,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,227-TC-01,SY2227-1TC01AC26PS24,10.70.28.105,Fa0/1,1C5a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
46,227-AP2,B227,SY2227-1TC-FACC1242-B,10.70.16.153,RMZA-B,70:81:05:f1:56:34,FGL1538U095,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,227-TC-01,SY2227-1TC01AC26PS24,10.70.28.105,Fa0/2,1A4a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
47,227-AP3,B227,SY2227-1TC-FACC1242-C,10.70.16.168,RMZA-B,70:81:05:f1:56:0e,FGL1538U097,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,227-TC-01,SY2227-1TC01AC26PS24,10.70.28.105,Fa0/3, 1A3a,ok,WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
48,411-AP1,B411,SY2411-1TC-FACC1242-A,10.70.16.154,EPC_RMZA-B,70:81:05:f1:55:e4,FGL1538U0A6,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/18,1G2a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
49,411-AP2,B411,SY2411-1TC-FACC1242-B,10.70.16.155,EPC_RMZA-B,70:81:05:92:b0:02,FGL1538U09W,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/5,1E6a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
50,411-AP3,B411,SY2411-1TC-FACC1242-C,10.70.16.156,EPC_RMZA-B,70:81:05:92:80:5a,FGL1538U0AF,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/15,1H7a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
51,411-AP4,B411,SY2411-1TC-FACC1242-D,10.70.16.81,EPC_RMZA-B,d4:8c:b5:4b:68:06,FGL1630U0AV,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/21,1H13a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
52,411-AP5,B411,SY2411-1TC-FACC1242-E,10.70.16.82,EPC_RMZA-B,60:73:5c:6a:bd:0e,FGL1636U031,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/28,1E4a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
53,411-AP6,B411,SY2411-1TC-FACC1242-F,10.70.16.83,EPC_RMZA-B,60:73:5c:6a:bf:34,FGL1636U03B,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/29,1B6a,ok,WLANSY2RCBR02; WLANSY2RRMZ01,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
54,520-AP1,B520,SY2520-1TC-FACC1242-A,10.70.16.157,FYT_RMZA-B,70:81:05:92:81:70,FGL1538U0AG,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/34,1J5a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
55,520-AP2,B520,SY2520-1TC-FACC1242-B,10.70.16.158,FYT_RMZA-B,70:81:05:f1:52:ac,FGL1538U09Z,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/35,1J10a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
56,520-AP3,B520,SY2520-1TC-FACC1242-C,10.70.16.159,FYT_RMZA-B,70:81:05:f1:55:16,FGL1538U0A2,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/36,1J16c,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
57,520-AP4,B520,SY2520-1TC-FACC1242-D,10.70.16.160,FYT_RMZA-B,70:81:05:92:b0:52,FGL1538U09T,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC03AC26PS24,10.70.28.110,Fa0/1,1J21a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
58,520-AP5,B520,SY2520-1TC-FACC1242-E,10.70.16.161,FYT_RMZA-B,70:81:05:f1:53:c8,FGL1538U09V,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/38,1H5a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
59,520-AP6,B520,SY2520-1TC-FACC1242-F,10.70.16.162,FYT_RMZA-B,d8:67:d9:8e:ae:34,FGL1627U0H9,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/39,1H10a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
60,520-AP7,B520,SY2520-1TC-FACC1242-G,10.70.16.163,FYT_RMZA-B,d8:67:d9:8e:af:1c,FGL1627U0HC,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/40,1H16a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
61,520-AP8,B520,SY2520-1TC-FACC1242-H,10.70.16.164,FYT_RMZA-B,d8:67:d9:8e:ae:0e,FGL1627U0H6,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/41,1G5a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
62,520-AP9,B520,SY2520-1TC-FACC1242-I,10.70.16.165,FYT_RMZA-B,d8:67:d9:8e:aa:c2,FGL1627U0KQ,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/42,1G10a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
63,520-AP10,B520,SY2520-1TC-FACC1242-J,10.70.16.166,FYT_RMZA-B,d8:67:d9:8e:a4:16,FGL1627U0KR,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC01AC26PS48,10.70.28.62,Fa0/43,1G16a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
64,520-AP11,B520,SY2520-1TC-FACC1242-K,10.70.16.167,FYT_RMZA-B,d8:67:d9:8e:a3:54,FGL1627U0KS,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-01,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/5,1G21a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
65,520-AP12,B520,SY2520-1TC-FACC1242-L,10.70.16.226,FYT_RMZA-B,d4:8c:b5:e6:ab:42,FGL1633U0BC,AIR-LAP1242AG-C-K9,Scale:6;Power:5mW,520-TC-02,SY2520-1TC02AC26PS48,10.70.28.109,Fa0/1,1B10a,ok,WLANSY2RFYT01,Mounted,SY2100-1MCCBCT5508,1,,2013;FactoryLAN,7,1,
